ID,Nombre,PrecioTotalAlCosto,Cantidad,PrecioUnitarioAlCosto,PrecioConEnvioUNITARIO,PrecioConEnvioTOTAL,PrecioSugerido,EscalaDePrecio,PrecioSegunPesoVolumen,MiPrecio,VentasAprox,Link,AlternateLink,REAL,Vendidos,Disponible,SellRate,Discount
RC-87857,Polvo Mineral Traslucido HD Studio Finishing Rude Cosmetics,30,8,"3,75","5,31","42,47","9,38",Ultraliviano,"4,56","9,12","72,94",,https://www.cosmeticosalpormayor.com/cdn/shop/products/RUDE_COSMETICS_RC-87857_UHD_STUDIO_FINISHING_MINERAL_POWDER_TRANSLUCENT_PACK_32PCS_2048x2048.jpg?v=1648485542,9,0,8,"96,00%",0
HB-8221-5,Paleta de Sombras Color Block Nude L.A. Colors,6,3,"2,00","2,83","8,49","5,00",Ultraliviano,"2,43","4,86","14,59",,https://lacolorsvenezuela.com/wp-content/uploads/2022/08/CES135_prod_img_1024x1024.webp,5,0,3,"100,00%",0
HB-8221-6,Paleta de Sombras Color Block Rose L.A. Colors,6,3,"2,00","2,83","8,49","5,00",Ultraliviano,"2,43","4,86","14,59",,https://www.lacolors.com/cdn/shop/products/CES136_prod_img_1024x1024.jpg?v=1536170003,5,1,2,"100,00%",0
HB-8221-1,Paleta de Sombras Color Block Glam L.A. Colors,6,3,"2,00","2,83","8,49","5,00",Ultraliviano,"2,43","4,86","14,59",,"https://static.beautytocare.com/cdn-cgi/image/width=1440,height=1200,f=auto/media/catalog/product//l/-/l-a-colors-color-block-eyeshadow-palette-ces137a-cool-glam-16g.png",5,0,3,"100,00%",0
BS-UB,Brochas 24 Pzs Unbothered Beauty Creations,"39,38",2,"19,69","27,87","55,75","49,23",Ultraliviano,"23,94","47,87","95,74",,https://www.cosmeticosalpormayor.com/cdn/shop/files/BEAUTYCREATIONS_BS-UB_UNBOTHERED-24PCBRUSH2SETS_2_2048x2048.jpg?v=1687796892,35,0,2,"71,10%",0
TBR23-A8,Brochas De Maquillaje Totémica,"44,7",4,"11,18","15,82","63,28","27,94",Ultraliviano,"13,58","27,17","108,68",,https://www.cosmeticosalpormayor.com/cdn/shop/files/IMG_3337_2048x2048.jpg?v=1704230580,20,1,3,"71,59%",0
NXBPRI,Primer en Gel Hidratante Bare With Me NYX,"15,75",6,"2,63","3,72","22,30","6,56",Ultraliviano,"3,19","6,38","38,29",,https://www.cosmeticosalpormayor.com/cdn/shop/files/NYX_NXBPRI_BAREWITHMEHYDRATINGJELLYPRIMER6UNITS_2048x2048.jpg?v=1691425490,6,0,6,"91,43%",0
MSS2261,Spray Fijador de Maquillaje Pro Sealer Kleancolor,"13,86",12,"1,16","1,64","19,62","2,89",Ultraliviano,"1,40","2,81","33,70",,https://www.cosmeticosalpormayor.com/cdn/shop/products/KLEANCOLOR_MSS2261_PROSEALERMAKEUPSETTINGSPRAYDISPLAY12UNITS.2_2048x2048.jpg?v=1638284333,3,0,12,"103,90%",0
DC-H1,Espejo de Mano Beauty Creations,"11,5",5,"2,30","3,26","16,28","5,75",Ultraliviano,"2,80","5,59","27,96",,https://www.cosmeticosalpormayor.com/cdn/shop/products/BEAUTYCREATIONS_DC-H1_HANDHELDMIRROR5UNITS_2_2048x2048.jpg?v=1678741127,5,0,5,"86,96%",0
CO-BGSD,Spray Brillante Corporal Stellar Shine Surtidos Amor Us,"17,33",6,"2,89","4,09","24,53","7,22",Ultraliviano,"3,51","7,02","42,13",,https://www.cosmeticosalpormayor.com/cdn/shop/files/AMORUS_CO-BGSD_STELLARSHINE-BODYSHIMMERSPRAYASSORTED6UNITS_1_d4767958-3900-4fef-bdd8-f5f80a2f4cdc_2048x2048.jpg?v=1718915110,7,0,6,"96,94%",0
